Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,drafted,year,drafted_team,drafted_pick,drafted_year,cfb_link,cav_url,cfb_school,cfb_Conf,cfb_G,cfb_Completions,cfb_Attempts,cfb_CompPct,cfb_PassingYds,cfb_YdsPerAtt,cfb_AdjPassPerAtt,cfb_Tds,cfb_Int,cfb_rating,nfl_cav
Bradlee Van Pelt,QB,Colorado State,College Stats,6-2,231,4.98,33.5,,115,6.89,4.11,"Denver Broncos,7th,250th pick,2004",2004,Denver Broncos,250,2004,https://www.sports-reference.com/cfb/players/bradlee-van-pelt-1.html,/players/V/VanPBr00.htm,Colorado State,NA,38,424,778,54.5,6165,7.9,7.1,37,30,129.0,0
Cody Pickett,QB,Washington,College Stats,6-3,233,4.79,30.5,,109,7.19,4.30,"San Francisco 49ers,7th,217th pick,2004",2004,San Francisco 49ers,217,2004,https://www.sports-reference.com/cfb/players/cody-pickett-1.html,/players/P/PickCo00.htm,Washington,NA,38,792,1373,57.7,9916,7.2,6.6,53,42,125.0,1
Scott Rislov,QB,San Jose State,College Stats,6-1,224,4.95,30.0,,119,7.44,4.34,",,,",2004,,,,https://www.sports-reference.com/cfb/players/scott-rislov-1.html,NA,San Jose State,NA,24,536,886,60.5,6267,7.1,7.0,40,19,130.5,NA
Philip Rivers,QB,North Carolina State,College Stats,6-5,229,5.08,,,,,,"New York Giants,1st,4th pick,2004",2004,New York Giants,4,2004,https://www.sports-reference.com/cfb/players/philip-rivers-1.html,/players/R/RivePh00.htm,North Carolina State,NA,49,1087,1710,63.6,13484,7.9,8.1,95,34,144.2,149
Ell Roberson,QB,Kansas State,College Stats,5-11,194,4.60,,,,,,",,,",2004,,,,https://www.sports-reference.com/cfb/players/ell-roberson-1.html,NA,Kansas State,NA,41,307,628,48.9,5099,8.1,7.4,37,26,128.3,NA
Ben Roethlisberger,QB,Miami (OH),College Stats,6-5,241,4.75,,,,,,"Pittsburgh Steelers,1st,11th pick,2004",2004,Pittsburgh Steelers,11,2004,https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html,/players/R/RoetBe00.htm,Miami (OH),NA,38,854,1304,65.5,10829,8.3,8.4,84,34,151.3,129
Rod Rutherford,QB,Pittsburgh,College Stats,6-2,240,4.79,30.5,,110,7.66,4.41,",,,",2004,,,,https://www.sports-reference.com/cfb/players/rod-rutherford-1.html,NA,Pitt,NA,46,458,842,54.4,6724,8.0,7.8,60,30,137.9,NA
Matt Schaub,QB,Virginia,College Stats,6-6,243,5.04,30.5,,110,7.65,4.62,"Atlanta Falcons,3rd,90th pick,2004",2004,Atlanta Falcons,90,2004,https://www.sports-reference.com/cfb/players/matt-schaub-1.html,/players/S/SchaMa00.htm,Virginia,NA,40,716,1069,67.0,7502,7.0,7.0,56,26,138.4,68
Jeff Smoker,QB,Michigan State,College Stats,6-3,223,4.95,26.5,,101,7.65,4.36,"St. Louis Rams,6th,201st pick,2004",2004,St. Louis Rams,201,2004,https://www.sports-reference.com/cfb/players/jeff-smoker-1.html,NA,Michigan State,NA,41,685,1150,59.6,8932,7.8,7.3,61,39,135.5,NA
B.J. Symons,QB,Texas Tech,College Stats,6-0,210,4.90,,,,,,"Houston Texans,7th,248th pick,2004",2004,Houston Texans,248,2004,https://www.sports-reference.com/cfb/players/bj-symons-1.html,NA,Texas Tech,NA,31,529,822,64.4,6378,7.8,7.8,59,25,147.1,NA
Jared Allen,QB,Florida Atlantic,College Stats,6-2,218,4.93,27.5,,106,7.29,4.39,",,,",2005,,,,https://www.sports-reference.com/cfb/players/jared-allen-1.html,/players/A/AlleJa22.htm,Florida Atlantic,NA,12,177,291,60.8,2554,8.8,8.4,13,8,143.8,101
Derek Anderson,QB,Oregon State,College Stats,6-6,242,5.03,29.0,,103,7.67,4.62,"Baltimore Ravens,6th,213th pick,2005",2005,Baltimore Ravens,213,2005,https://www.sports-reference.com/cfb/players/derek-anderson-1.html,/players/A/AndeDe00.htm,Oregon State,NA,49,768,1515,50.7,11249,7.4,6.8,79,57,122.7,23
